127.0.0.1 - - [04/Apr/2022:15:34:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:34:12 +0900] "GET /JspProject/jsp1/form1.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:34:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:34:20 +0900] "GET /JspProject/jsp1/pro1.jsp?id=jst&num=123 HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:41:13 +0900] "GET /JspProject/jsp1/pro1.jsp HTTP/1.1" 500 2625
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:41:18 +0900] "GET /JspProject/jsp1/form1.jsp HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [04/Apr/2022:15:41:21 +0900] "GET /JspProject/jsp1/pro1.jsp?id=asd&num=123 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:03:09 +0900] "GET /JspProject/jsp1/form2.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:03:14 +0900] "GET /JspProject/jsp1/pro2.jsp?name=%EA%B9%80%EC%98%81%EC%A4%80&age=12 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:03:25 +0900] "GET /JspProject/jsp1/pro2.jsp?name=%EA%B9%80%EC%98%81%EC%A4%80&age=12 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:03:26 +0900] "GET /JspProject/jsp1/pro2.jsp?name=%EA%B9%80%EC%98%81%EC%A4%80&age=12 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:10:10 +0900] "GET /JspProject/jsp1/form2.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:10:13 +0900] "POST /JspProject/jsp1/pro2.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:12:45 +0900] "POST /JspProject/jsp1/pro2.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:16:52 +0900] "POST /JspProject/jsp1/pro2.jsp HTTP/1.1" 500 2246
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:16:53 +0900] "POST /JspProject/jsp1/pro2.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [04/Apr/2022:16:16:55 +0900] "POST /JspProject/jsp1/pro2.jsp HTTP/1.1" 200 167
